date,home_team,away_team,home_form,away_form,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_goals_scored_avg_5,away_goals_scored_avg_5,home_draw_rate,away_draw_rate,home_rank_points,away_rank_points,rank_diff,home_elo,away_elo,elo_diff,home_squad_value_log,away_squad_value_log,squad_value_log_diff,home_attack_vs_away_def,away_attack_vs_home_def,h2h_home_winrate,h2h_avg_goals,is_neutral,outcome,home_goals,away_goals
1994-07-02,Spain,Switzerland,0.7222222222222222,0.4444444444444444,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,56.0,54.0,2.0,1799.0337655795072,1771.800387420176,27.233378159331096,7.561222433405828,7.03685941923498,0.5243630141708477,1.5,1.2500000000000002,0.5,2.5,1,0,3.0,0.0
1994-07-03,Saudi Arabia,Sweden,0.7777777777777778,0.6666666666666666,1.3333333333333333,1.0,2.0,1.3333333333333333,1.3333333333333333,2.0,0.0,0.6666666666666666,40.0,55.0,-15.0,1725.6462053043117,1797.4499741948018,-71.80376889049012,6.055710264300081,7.163378311937407,-1.1076680476373264,1.0,2.0,0.5,2.5,1,2,1.0,3.0
1994-07-03,Romania,Argentina,0.6666666666666666,0.5555555555555556,1.6666666666666667,1.6666666666666667,2.0,1.0,1.6666666666666667,2.0,0.0,0.0,55.0,55.0,0.0,1768.4581899254667,1836.0475694463225,-67.5893795208558,6.0,7.374547959171061,-1.3745479591710614,1.6666666666666667,1.2,0.5,2.5,1,0,3.0,2.0
1994-07-04,Netherlands,Republic of Ireland,0.6666666666666666,0.4444444444444444,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,59.0,53.0,6.0,1824.1851860678248,1759.7631483837622,64.42203768406262,7.403351785225545,6.0,1.4033517852255448,2.0,0.6666666666666666,0.5,2.5,1,0,2.0,0.0
1994-07-04,United States,Brazil,0.4444444444444444,0.7777777777777778,1.0,1.0,2.0,0.3333333333333333,1.0,2.0,0.3333333333333333,0.3333333333333333,47.0,59.0,-12.0,1692.2550757905335,1869.1343122868648,-176.87923649633126,7.0347051967831815,7.492694762653628,-0.4579895658704469,2.0,2.0,0.5,2.5,0,2,0.0,1.0
1994-07-05,Mexico,Bulgaria,0.5555555555555556,0.7777777777777778,1.0,1.0,2.0,1.0,1.0,2.0,0.3333333333333333,0.0,51.0,44.0,7.0,1789.1044650454664,1690.1885238051077,98.91594124035873,6.764956515616834,6.0,0.7649565156168343,1.0,2.0,0.5,2.5,1,1,1.0,1.0
1994-07-05,Nigeria,Italy,0.6666666666666666,0.5555555555555556,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,0.0,0.3333333333333333,54.0,57.0,-3.0,1729.7279614776057,1842.3987707237116,-112.67080924610582,6.0,6.0,0.0,3.0,1.0,0.5,2.5,1,2,1.0,2.0
1994-07-09,Italy,Spain,0.6944444444444443,0.8055555555555555,1.0,0.75,2.25,1.0,1.0,2.25,0.25,0.5,57.0,56.0,1.0,1837.8327266766016,1813.3906835686855,24.442043107916106,6.0,7.561222433405828,-1.5612224334058276,1.0,3.0,0.5,2.5,1,0,2.0,1.0
1994-07-09,Netherlands,Brazil,0.7777777777777777,0.861111111111111,1.5,0.75,1.75,0.25,1.5,1.75,0.0,0.25,59.0,59.0,0.0,1840.0916696668955,1863.0309501557276,-22.939280488832082,7.403351785225545,7.492694762653628,-0.08934297742808361,3.0,2.3333333333333335,0.5,2.5,1,2,2.0,3.0
1994-07-10,Bulgaria,Germany,0.6666666666666666,0.8888888888888888,1.75,1.0,2.0,1.25,1.75,2.0,0.25,0.25,44.0,60.0,-16.0,1732.091788150045,1898.4713758778298,-166.37958772778484,6.0,7.516362252398438,-1.5163622523984381,1.4,2.0,0.5,2.5,1,0,2.0,1.0
1994-07-10,Romania,Sweden,0.7777777777777777,0.7777777777777777,2.0,1.75,2.25,1.25,2.0,2.25,0.0,0.5,55.0,55.0,0.0,1791.9818030389515,1803.553336325939,-11.57153328698746,6.0,7.163378311937407,-1.1633783119374073,1.6,1.2857142857142858,0.5,2.5,1,1,2.0,2.0
1994-07-13,Bulgaria,Italy,0.75,0.7666666666666667,1.8,1.0,1.2,0.8,1.8,1.2,0.2,0.2,44.0,57.0,-13.0,1737.3539369998712,1860.417086612531,-123.0631496126598,6.0,6.0,0.0,2.25,1.2,0.5,2.5,1,2,1.0,2.0
1994-07-13,Sweden,Brazil,0.7,0.9,2.2,1.4,2.0,0.6,2.2,2.0,0.6,0.2,55.0,59.0,-4.0,1829.7633933003933,1877.8085753270393,-48.04518202664599,7.163378311937407,7.492694762653628,-0.3293164507162212,3.666666666666667,1.4285714285714286,0.0,2.0,1,2,0.0,1.0
